Unnamed: 0,题目分类,题型,题干,选项,答案
585,通用题库,03判断题,依据《重大电力安全隐患判定标准(试行)》（国能综通安全〔2022〕123号），特高压换流变（油浸式平波电抗器）、乙炔、总烃等特征气体明显增高，内部存在局放，绝缘电阻和介损试验数据严重超标不构成重大电力隐患。,A-正确|B-错误,B
586,通用题库,03判断题,依据《重大电力安全隐患判定标准(试行)》（国能综通安全〔2022〕123号），建设单位将建设项目发包给不具备安全生产条件或相应资质施工企业，所属工程专项施工方案未按规定开展编、审、批或专家论证，开展爆破、吊装、有限空间等危险作业未履行施工作业许可审批手续或无人监护构成重大电力隐患。,A-正确|B-错误,A
587,通用题库,03判断题,依据《重大火灾隐患判定方法》，在人员密集场所(教学楼、图书馆、员工集体宿舍等)违反消防安全规定使用、储存或销售易燃易爆危险品构成重大火灾隐患,A-正确|B-错误,A
588,通用题库,03判断题,依据《水利工程运行管理生产安全重大事故隐患判定清单》和《能源局电力安全隐患监督管理规定》第六条重大工程隐患判定标准，大坝及泄水、输水等建筑物的强度、稳定、泄流安全不满足规范要求，存在危及工程安全的异常变形、坝体贯穿性裂缝、近坝岸坡不稳定或其他工程缺陷构成重大事故隐患,A-正确|B-错误,A
589,通用题库,03判断题,《国家电网公司安全工作奖惩规定》规定，发生责任性或造成不良影响事件、未有效履行安全生产职责、未有效落实安全生产工作部署、未有效执行安全生产制度规程等情形的，上级单位应约谈有关单位负责人和相关人员，并责令限期改正。,A-正确|B-错误,A
590,通用题库,03判断题,《国家电网公司安全工作奖惩规定》规定，发生一般及以上人身事故、五级及以上责任性电网和设备事件、六级及以上责任性信息系统事件，或发生造成重大影响事件后，相关单位应在发生之日起的一个月内到总部“说清楚”。,A-正确|B-错误,B
591,通用题库,03判断题,《国家电网公司安全工作奖惩规定》规定，公司所属各单位一年内重复发生事故或性质恶劣事件，对有关单位和人员按照相关条款上限或提高一个等级进行处罚。,A-正确|B-错误,A
592,通用题库,03判断题,依据《国家电网有限公司安全事故调查规程》，电网因安全自动装置正确动作或调度运行人员按事故处理预案进行处理的非人员责任的事故，不中断调度机构的安全记录。若由于人员处理不当或设备本身故障构成事故者，仍应中断安全记录。,A-正确|B-错误,A
593,通用题库,03判断题,依据《国家电网有限公司安全事故调查规程》，检查评估工作在事故调查结案后的一年内开展。,A-正确|B-错误,A
594,通用题库,03判断题,依据《国家电网有限公司安全事故调查规程》，被单位派出到用户工程工作过程中发生的人身伤亡事件属于人身事故。,A-正确|B-错误,A
595,通用题库,03判断题,依据《国家电网有限公司安全事故调查规程》，即时报告后事故出现新情况的，可视情况补报。,A-正确|B-错误,B
596,通用题库,03判断题,依据《国家电网有限公司安全事故调查规程》，因抢救人员生命而紧急停止设备运行构成的事故，应中断安全记录。,A-正确|B-错误,B
597,通用题库,03判断题,依据《国家电网有限公司安全事故调查规程》，事故调查组在事故调查的基础上，分析并明确事故发生、扩大的直接原因和间接原因，管理原因和技术原因。必要时，事故调查组可委托专业技术部门进行相关计算、试验、分析。,A-正确|B-错误,A
598,通用题库,03判断题,依据《应急管理工作规定》，应急抢修队负责快速响应实施突发事件应急救援。,A-正确|B-错误,B
599,通用题库,03判断题,依据《应急管理工作规定》，各单位还应配合政府相关部门建立生产安全事故应急救援信息系统，并通过系统进行应急预案备案和相关信息报送。,A-正确|B-错误,A
600,通用题库,03判断题,依据《应急管理工作规定》，公司建立健全应急管理监督检查和考核机制，上级单位应当对下级单位应急工作开展情况进行检查。,A-正确|B-错误,B
601,通用题库,03判断题,2021年5月4日国网甘肃电力±800千伏祁韶线年度检修期间，在进行1413#塔耐张线夹X光无损探伤检测作业过程中，发生一起人员高空坠落事故，造成探伤检测业务外包单位1名劳务人员死亡，该事故暴露出事故责任单位存在专业外委管理失责、作业组织管理失责、作业风险管控失责、规矩意识和纪律意识不强等问题。,A-正确|B-错误,A
602,通用题库,03判断题,2022年6月22日，国网西藏电力110千伏芒盐线发生雷击故障，线路两侧线路保护动作跳闸，500千伏芒康变电站110千伏双套母线保护因芒盐线CT变比错误动作跳闸，造成芒康变110千伏Ⅱ母、110千伏盐井变及35千伏徐中变、罗热变、莽措湖变失电，损失负荷1兆瓦。调查认定，500千伏芒康变电站110千伏Ⅱ母跳闸事件是一起六级设备事件。,A-正确|B-错误,B
603,通用题库,03判断题,2023年9月3日，国网蒙东电力所属通辽供电公司在进行500千伏科尔沁变电站扎科1号线5043开关、扎科2号线5053开关合闸电阻拆除施工时，5043开关A相电流互感器二次电缆线芯端部绝缘胶带脱落，二次电流回路两点接地，线路差动保护动作，造成5042开关、500千伏扎科1号线跳闸。导致该事件的直接原因是现场强令冒险作业。,A-正确|B-错误,B
604,通用题库,03判断题,2023年9月14日，四川天府新区供电公司220千伏罗家店变电站261间隔扩建期间，发生220千伏Ⅱ母三相故障跳闸。这起事件是在基建施工阶段开展设备耐压试验时，施工人员带接地刀误合运行母线侧隔离开关，造成母线三相金属接地的恶性误操作事件。,A-正确|B-错误,A
605,通用题库,03判断题,2023年2月22日13时12分许，内蒙古自治区阿拉善盟孪井滩生态移民示范区内蒙古新井煤业有限公司露天煤矿发生特别重大坍塌事故，造成53人死亡、6人受伤，直接经济损失20430.25万元。调查认定：该事故是一起企业在井工转露天技改期间边建设边生产，违法包给不具备矿山建设资质的施工单位长期冒险蛮干，相关部门监管执法“宽松软虚”，地方党委政府失管失察，致使重大风险隐患长期存在而导致的生产安全责任事故。,A-正确|B-错误,A
606,通用题库,03判断题,2023年4月18日12时50分，北京市丰台区靛厂新村291号北京长峰医院发生重大火灾事故，造成29人死亡、42人受伤，直接经济损失3831.82万元。调查认定，北京丰台长峰医院“4·18”火灾事故是一起因事发医院违法违规实施改造工程、施工安全管理不力、日常管理混乱、火灾隐患长期存在，施工单位违规作业、现场安全管理缺失，加之应急处置不力，地方党委政府和有关部门职责不落实而导致的重大生产安全责任事故。,A-正确|B-错误,A
607,专业题库,03判断题,依据变电安规，一个电气连接部分是指：电气装置中，可以用断路器（开关）同其他电气装置分开的部分。,A-正确|B-错误,B
608,专业题库,03判断题,依据变电安规，总工作票应在分工作票许可后才可许可；总工作票应在所有分工作票终结后才可终结。,A-正确|B-错误,B
609,专业题库,03判断题,依据变电安规，承发包工程中，工作票可实行“双签发”形式。,A-正确|B-错误,A
610,专业题库,03判断题,依据变电安规，工作票有破损不能继续使用时，应补填新的工作票。补填的工作票不需再次履行签发许可手续。,A-正确|B-错误,B
611,专业题库,03判断题,依据变电安规，第一种工作票所列工作地点超过两个，或有两个及以上不同的工作单位(班组)在一起工作时，可采用总工作票和分工作票。,A-正确|B-错误,A
612,专业题库,03判断题,依据变电安规，全站停电可不使用工作票。,A-正确|B-错误,B
613,专业题库,03判断题,依据变电安规，第二种工作票和带电作业工作票应在工作前一日预先交给工作许可人。,A-正确|B-错误,B
614,专业题库,03判断题,依据变电安规，在同一变电站内，依次进行的同一类型的带电作业可以使用一张带电作业工作票。,A-正确|B-错误,A
615,专业题库,03判断题,依据变电安规，工作票应使用黑色或蓝色的钢（水）笔或圆珠笔填写与签发，一式两份，内容应正确，填写应清楚，不得任意涂改。,A-正确|B-错误,A
616,专业题库,03判断题,依据变电安规，专责监护人临时离开时，应指定一名工作人员担任临时监护人。,A-正确|B-错误,B
617,专业题库,03判断题,依据变电安规，用户变、配电站的工作许可人应是持有效证书的高压电气工作人员。,A-正确|B-错误,A
618,专业题库,03判断题,依据变电安规，运维人员实施不需高压设备停电或做安全措施的变电运维一体化业务项目时，可不使用工作票，但应以书面形式记录相应的操作和工作等内容。,A-正确|B-错误,A
619,专业题库,03判断题,依据变电安规，事故紧急抢修应填用工作票，或事故紧急抢修单。,A-正确|B-错误,A
620,专业题库,03判断题,依据变电安规，一台变压器停电检修，其断路器（开关）也配合检修，且同时停、送电，可使用同一张工作票。,A-正确|B-错误,A
621,专业题库,03判断题,专责监护人应是具有相关工作经验，熟悉设备情况和《电力安全工作规程 变电部分》的人员。,A-正确|B-错误,A
622,专业题库,03判断题,依据变电安规，在同一电气连接部分用同一张工作票依次在几个工作地点转移工作时，全部安全措施由运维人员在开工前一次做完，不需再办理转移手续。,A-正确|B-错误,A
623,专业题库,03判断题,依据变电安规，只有在同一停电系统的所有工作票都已终结，并得到值班调控人员或运维负责人的许可指令后，方可合闸送电。,A-正确|B-错误,A
624,专业题库,03判断题,依据变电安规，一个工作负责人可以同时执行多张工作票，工作票上所列的工作地点，以一个电气连接部分为限。,A-正确|B-错误,B
625,专业题库,03判断题,依据变电安规，新参加电气工作的人员、实习人员和临时参加劳动的人员（管理人员、非全日制用工等），应经过安全知识教育后，方可到现场单独工作。,A-正确|B-错误,B
626,专业题库,03判断题,依据变电安规，事故紧急抢修工作，指电气设备发生故障被迫紧急停止运行，需按计划恢复的抢修和排除故障的工作。,A-正确|B-错误,B
627,专业题库,03判断题,依据变电安规，降压变电站全部停电时，应将各个可能来电侧的部分断开，其余部分不必每段都装设接地线或合上接地刀闸（装置）。,A-正确|B-错误,B
628,专业题库,03判断题,依据变电安规，所有配电装置的适当地点，均应设有与接地网相连的接地端，接地电阻应合格。,A-正确|B-错误,A
629,专业题库,03判断题,依据变电安规，高压回路上的工作，必须要拆除全部或一部分接地线后始能进行工作者，如果是根据调控人员指令装设的接地线，应征得工作负责人的许可，方可进行。,A-正确|B-错误,B
630,专业题库,03判断题,依据变电安规，在电气设备上工作，对难以做到与电源完全断开的检修设备，可以不拆除设备与电源之间的电气连接。,A-正确|B-错误,B
631,专业题库,03判断题,依据变电安规，接地线应使用专用的线夹固定在导体上，也可用缠绕的方法进行接地或短路。,A-正确|B-错误,B
632,专业题库,03判断题,依据变电安规，禁止在只经断路器（开关）断开电源或只经换流器闭锁隔离电源的设备上工作。,A-正确|B-错误,A
633,专业题库,03判断题,依据变电安规，表示设备断开和允许进入间隔的信号、经常接入的电压表等，如果指示有电，在排除异常情况前，禁止在设备上工作。,A-正确|B-错误,A
634,专业题库,03判断题,依据变电安规，由于设备原因，接地刀闸与检修设备之间连有断路器（开关），在接地刀闸和断路器（开关）合上后，应有保证断路器（开关）不会分闸的措施。,A-正确|B-错误,A
635,专业题库,03判断题,依据变电安规，每组接地线及其存放位置均应编号，接地线号码与存放位置号码应一致。,A-正确|B-错误,A
636,专业题库,03判断题,依据变电安规，装设接地线应由两人进行（经批准可以单人装设接地线的项目及运维人员除外）。,A-正确|B-错误,A
637,专业题库,03判断题,依据变电安规，禁止作业人员擅自移动或拆除遮栏（围栏）、标示牌。,A-正确|B-错误,A
638,专业题库,03判断题,依据变电安规，在工作地点应设置“从此进出！”的标示牌。,A-正确|B-错误,B
639,专业题库,03判断题,依据变电安规，装、拆接地线，应作好记录，交接班时应交待清楚。,A-正确|B-错误,A
640,专业题库,03判断题,依据变电安规，巡视室内设备，应随手关门。,A-正确|B-错误,A
641,专业题库,03判断题,依据变电安规，地震、台风、洪水、泥石流等灾害发生后，如需要对设备进行巡视时，应制定必要的安全措施，得到设备运维管理单位批准，可单人巡视，但巡视人员应与派出部门之间保持通信联络。,A-正确|B-错误,B
642,专业题库,03判断题,依据变电安规，待用间隔的隔离开关(刀闸)操作手柄、网门可不加锁。,A-正确|B-错误,B
643,专业题库,03判断题,依据变电安规，经本单位批准允许单独巡视高压设备的人员巡视高压设备时，如果确因工作需要，可临时移开或越过遮栏，事后应立即恢复。,A-正确|B-错误,B
644,专业题库,03判断题,依据变电安规，换流站不允许单人值班或单人操作。,A-正确|B-错误,A
645,专业题库,03判断题,依据变电安规，解锁工具（钥匙）使用后应在所有工作结束后再封存并作好记录。,A-正确|B-错误,B
646,专业题库,03判断题,依据变电安规，在运行中若必须进行中性点接地点断开的工作时，应先建立有效的旁路接地才可进行断开工作。,A-正确|B-错误,A
647,专业题库,03判断题,依据变电安规，高压设备上工作，在手车开关拉出后，应观察隔离挡板是否可靠封闭。,A-正确|B-错误,A
648,专业题库,03判断题,依据变电安规，部分停电的工作，是指高压设备部分停电，或室内虽全部停电，而通至邻接高压室的门并未全部闭锁的工作。,A-正确|B-错误,A
649,专业题库,03判断题,依据变电安规，创伤急救时，如果伤员颅脑外伤，应使伤员采取平卧位，保持气道通畅，若有呕吐，应扶好头部和身体，使头部和身体同时侧转，防止呕吐物造成窒息。,A-正确|B-错误,A
650,专业题库,03判断题,依据变电安规，怀疑可能存在有害气体时，应立即将人员撤离现场，转移到通风良好处休息。抢救人员进入险区应戴防毒面具。,A-正确|B-错误,A
651,专业题库,03判断题,依据变电安规，平地搬运时伤员头部在前，上楼、下楼时、下坡时头部都在下，搬运中应严密观察伤员，防止伤情突变。,A-正确|B-错误,B
652,专业题库,03判断题,依据变电安规，触电者神志不清，判断意识无，有心跳，但呼吸停止或极微弱时，应立即用仰头抬颏法，使气道开放，并对触电者施行心脏按压。,A-正确|B-错误,B
653,专业题库,03判断题,依据变电安规，可用电线、铁丝、细绳等作止血带使用。,A-正确|B-错误,B
654,专业题库,03判断题,依据变电安规，低压触电时，因触电者的身体是带电的，其鞋的绝缘也可能遭到破坏，救护人不得接触触电者的皮肤，也不能抓他的鞋。,A-正确|B-错误,A
655,专业题库,03判断题,依据变电安规，救护者在救护过程中特别是在杆上或高处抢救伤者时，要注意自身和被救者不要触及附近带电体，防止再次触及带电设备。,A-正确|B-错误,B
656,专业题库,03判断题,依据变电安规，开放性骨折，伴有大出血者，先固定、再止血，并用干净布片覆盖伤口，然后速送医院救治。,A-正确|B-错误,B
657,专业题库,03判断题,依据变电安规，伤员脱离电源后，当发现触电者呼吸微弱或停止时，应立即通畅触电者的气道以促进触电者呼吸或便于抢救。,A-正确|B-错误,A
658,专业题库,03判断题,依据变电安规，冻伤急救时，应将伤员身上潮湿的衣服剪去后用干燥柔软的衣服覆盖，并立即烤火或搓雪。,A-正确|B-错误,B
659,专业题库,03判断题,依据变电安规，创伤急救时，外部出血立即采取止血措施，防止失血过多休克。,A-正确|B-错误,A
660,专业题库,03判断题,依据变电安规，毒蛇咬伤后，不要惊慌、奔跑、饮酒，以免加速蛇毒在人体内扩散。,A-正确|B-错误,A
661,专业题库,03判断题,依据变电安规，SF6气瓶搬运时，应轻装轻卸。,A-正确|B-错误,A
662,专业题库,03判断题,依据变电安规，SF6配电装置室、电缆层（隧道）的排风机电源开关应设置在门内。,A-正确|B-错误,B
663,专业题库,03判断题,依据变电安规，在打开的SF6电气设备上工作的人员，应经专门的安全技术知识培训，配置和使用必要的安全防护用具。,A-正确|B-错误,A
664,专业题库,03判断题,依据变电安规，工作人员不准在SF6设备防爆膜附近停留。,A-正确|B-错误,A
665,专业题库,03判断题,依据变电安规，SF6断路器（开关）进行操作时，禁止检修人员在其外壳上进行工作。,A-正确|B-错误,A
666,专业题库,03判断题,依据变电安规，SF6设备检修结束后，检修人员应洗澡，把用过的工器具、防护用具妥善保管。,A-正确|B-错误,B
667,专业题库,03判断题,依据变电安规，尽量避免一人进入SF6配电装置室进行巡视或从事检修工作。,A-正确|B-错误,B
668,专业题库,03判断题,依据变电安规，低压配电装置和低压导线上进行带电工作，使用有绝缘柄的工具时，其外裸的导电部位应采取绝缘措施，防止操作时相间或相对地短路。,A-正确|B-错误,A
669,专业题库,03判断题,依据变电安规，电缆沟的盖板开启后，应自然通风一段时间，方可下井工作。,A-正确|B-错误,B
670,专业题库,03判断题,依据变电安规，电缆施工完成后应将穿越过的孔洞进行封堵。,A-正确|B-错误,A
671,专业题库,03判断题,依据变电安规，沟(槽)开挖时，在堆置物堆起的斜坡上可以放置工具材料等器物。,A-正确|B-错误,B
672,专业题库,03判断题,依据变电安规，电力电缆作业，开断电缆时，扶绝缘柄的人应戴手套，并采取防灼伤措施（如防护面具等）。,A-正确|B-错误,B
673,专业题库,03判断题,依据变电安规，电力电缆作业，掘路施工区域应用标准路栏等严格分隔，并有明显标记，夜间施工应佩戴反光标志，施工地点应加挂警示灯。,A-正确|B-错误,A
674,专业题库,03判断题,依据变电安规，开启电缆井井盖、电缆沟盖板及电缆隧道人孔盖时应使用专用工具，同时注意所立位置。,A-正确|B-错误,A
675,专业题库,03判断题,依据变电安规，不熟悉风动工具使用方法和修理方法的工作人员，不准擅自使用或修理风动工具。,A-正确|B-错误,A
676,专业题库,03判断题,依据变电安规，对于动火作业，可以采用不动火的方法代替而同样能够达到效果时，尽量采用替代的方法处理。,A-正确|B-错误,A
677,专业题库,03判断题,依据变电安规，使用射钉枪、压接枪等爆发性工具时，除严格遵守说明书的规定外，还应遵守爆破的有关规定。,A-正确|B-错误,A
678,专业题库,03判断题,依据变电安规，禁止在机器转动时，从联轴器（靠背轮）和齿轮上取下防护罩或其他防护设备。,A-正确|B-错误,A
679,专业题库,03判断题,依据变电安规，锉刀、手锯、木钻、螺丝刀等的手柄应安装牢固，没有手柄的应小心使用。,A-正确|B-错误,B
680,专业题库,03判断题,依据变电安规，在使用电气工具工作中，因故离开工作场所或暂时停止工作以及遇到临时停电时，应使电源状态保持不变。,A-正确|B-错误,B
681,专业题库,03判断题,依据变电安规，电动的工具、机具应接地或接零良好。,A-正确|B-错误,A
682,专业题库,03判断题,依据变电安规，机器的转动部分应装有防护罩或其他防护设备（如栅栏），露出的轴端应设有护盖，以防绞卷衣服。,A-正确|B-错误,A
683,专业题库,03判断题,依据变电安规，气瓶搬运应使用专门的抬架或手推车。,A-正确|B-错误,A
684,专业题库,03判断题,依据变电安规，动火作业间断或终结后，应汇报工作票签发人，后方可离开。,A-正确|B-错误,B
685,专业题库,03判断题,依据变电安规，所有电气设备的金属外壳均应有良好的接地装置。使用中不准将接地装置拆除，但可对其进行工作。,A-正确|B-错误,B
686,专业题库,03判断题,依据变电安规，动火作业中，有条件拆下的构件，如油管、阀门等应拆下移至安全场所。,A-正确|B-错误,A
687,专业题库,03判断题,依据变电安规，禁止把氧气瓶及乙炔气瓶放在一起运送，也不准与易燃物品或装有可燃气体的容器一起运送。,A-正确|B-错误,A
688,专业题库,03判断题,依据变电安规，动火工作负责人应是具备检修工作负责人资格的人员。,A-正确|B-错误,B
689,专业题库,03判断题,依据变电安规，一、二级动火工作在次日动火前应重新检查防火安全措施，并测定可燃气体、易燃液体的可燃蒸气含量，合格方可重新动火。,A-正确|B-错误,A
690,专业题库,03判断题,依据变电安规，动火作业，尽可能地把动火时间和范围扩展到最高限度。,A-正确|B-错误,B
691,专业题库,03判断题,依据变电安规，使用中的氧气瓶和乙炔气瓶应水平固定放置。,A-正确|B-错误,B
692,专业题库,03判断题,依据变电安规，凡盛有或盛过易燃易爆等化学危险物品的容器、设备、管道等生产、储存装置，在动火作业前应将其与生产系统彻底隔离，并进行清洗置换，检测可燃气体、易燃液体的可燃蒸汽含量合格后，方可动火作业。,A-正确|B-错误,A
693,专业题库,03判断题,依据变电安规，上爬梯应逐档检查爬梯是否牢固，上下爬梯应抓牢，应两手同时抓一个梯阶。,A-正确|B-错误,B
694,专业题库,03判断题,依据变电安规，空气压缩机输气管应避免急弯。,A-正确|B-错误,A
695,专业题库,03判断题,依据变电安规，变电站一、二级动火工作票签发人应是经本单位（动火单位或设备运维管理单位）批准且公布的有关部门负责人、技术负责人或经本单位批准的其他人员。,A-正确|B-错误,B
696,专业题库,03判断题,依据变电安规，禁止使用没有防护罩的砂轮（特殊工作需要的手提式小型砂轮除外）。砂轮机的安全罩应完整。,A-正确|B-错误,A
697,专业题库,03判断题,依据变电安规，二级动火时，工区应指定人员，并和消防（专职）人员或指定的义务消防员始终在现场监护。,A-正确|B-错误,A
698,专业题库,03判断题,依据变电安规，经单位批准，可在带有压力（液体压力或气体压力）的设备上或带电的设备上进行焊接。,A-正确|B-错误,B
699,专业题库,03判断题,依据变电安规，各生产场所应有逃生路线的标示。,A-正确|B-错误,A
700,专业题库,03判断题,依据变电安规，使用锯床时，工件应夹牢，长的工件两头应垫牢，并防止工件锯断时伤人。,A-正确|B-错误,A
701,专业题库,03判断题,依据变电安规，起吊重物不准让其长期悬在空中。有重物悬在空中时，禁止驾驶人员离开驾驶室或做其他工作。,A-正确|B-错误,A
702,专业题库,03判断题,依据变电安规，用两台及两台以上千斤顶同时顶升一个物体时，千斤顶的总起重能力应不小于荷重的两倍。,A-正确|B-错误,A
703,专业题库,03判断题,依据变电安规，千斤顶禁止超载使用，可加长手柄进行操作。,A-正确|B-错误,B
704,专业题库,03判断题,依据变电安规，汽车起重机及轮胎式起重机作业前应先支好全部支腿后方可进行其他操作；作业完毕后，将臂杆收回即可起腿。,A-正确|B-错误,B
705,专业题库,03判断题,依据变电安规，禁止将千斤顶放在长期无人照料的荷重下面。,A-正确|B-错误,A
706,专业题库,03判断题,依据变电安规，切断麻绳、纤维绳的绳索时，应先将预定切断的两边用线绳扎结，以免切断后绳索松散，断头应编结处理。,A-正确|B-错误,B
707,专业题库,03判断题,依据变电安规，吊起的重物如需在空中停留较长时间，应将手拉链拴在起重链上，并在重物上加设保险绳。,A-正确|B-错误,A
708,专业题库,03判断题,依据变电安规，起重设备、吊索具和其他起重工具的工作负荷，不准超过铭牌规定。,A-正确|B-错误,A
709,专业题库,03判断题,依据变电安规，起重物品应绑牢，吊钩要挂在物品的重心线上。,A-正确|B-错误,A
710,专业题库,03判断题,依据变电安规，起重搬运时只能由一人统一指挥，必要时可设置中间指挥人员传递信号。,A-正确|B-错误,A
711,专业题库,03判断题,依据变电安规，合成纤维吊装带用于不同承重方式时，应严格按照标签给予定值使用。,A-正确|B-错误,A
712,专业题库,03判断题,依据变电安规，钢丝绳应按出厂技术数据使用。无技术数据时，应进行拉伸试验。,A-正确|B-错误,B
713,专业题库,03判断题,依据变电安规，不准使卸扣处于吊件的转角处。,A-正确|B-错误,A
714,专业题库,03判断题,依据变电安规，如使用的滑车可能着地，则应在滑车底下垫以篷布，防止垃圾窜入滑车。,A-正确|B-错误,B
715,专业题库,03判断题,依据变电安规，卸扣应是锻造的。卸扣不准横向受力。,A-正确|B-错误,A
716,专业题库,03判断题,依据变电安规，起重作业，长期或频繁地靠近架空线路或其他带电体作业时，应停电作业。,A-正确|B-错误,B
717,专业题库,03判断题,依据变电安规，卸扣的销子不准扣在活动性较小的索具内。,A-正确|B-错误,B
718,专业题库,03判断题,依据变电安规，千斤顶下降速度应缓慢，禁止在带负荷的情况下使其突然下降。,A-正确|B-错误,A
719,专业题库,03判断题,依据变电安规，链条葫芦操作时，人员不得站在链条葫芦的正下方。,A-正确|B-错误,A
720,专业题库,03判断题,依据变电安规，链条葫芦在使用中如发生卡链情况，应将重物卸下后方可进行检修。,A-正确|B-错误,B
721,专业题库,03判断题,依据变电安规，禁止管理人员在起重工作区域内行走或停留。,A-正确|B-错误,B
722,专业题库,03判断题,依据变电安规，只有做好相关安全措施后，才允许用起重机起吊埋在地下的物件。,A-正确|B-错误,B
723,专业题库,03判断题,依据变电安规，合成纤维吊装带应按出厂数据使用，无数据时应避免与尖锐棱角接触，如无法避免应装设必要的护套。,A-正确|B-错误,B
724,专业题库,03判断题,依据变电安规，合成纤维吊装带发现外部护套破损显露出内芯时，应采取相关措施后方可使用。,A-正确|B-错误,B
725,专业题库,03判断题,依据变电安规，吊物上不许站人，禁止作业人员利用吊钩来上升或下降。,A-正确|B-错误,A
726,专业题库,03判断题,依据变电安规，链条葫芦起重链可拆成单股使用，但不得打扭。,A-正确|B-错误,B
727,专业题库,03判断题,依据变电安规，脚手架的安装、拆除和使用，应执行《国家电网公司电力安全工作规程［火（水）电厂（动力部分）］》中的有关规定及国家相关规程规定。,A-正确|B-错误,A
728,专业题库,03判断题,依据变电安规，在屋顶以及其他危险的边沿进行工作，靠墙一面应装设安全网或防护围栏，否则，作业人员应使用安全带。,A-正确|B-错误,B
729,专业题库,03判断题,依据变电安规，高处作业人员在转移作业位置时不得失去安全保护，但转移完毕后必须恢复。,A-正确|B-错误,B
730,专业题库,03判断题,依据变电安规，低温或高温环境下作业，应采取保暖和防暑降温措施，作业时间不宜过长。,A-正确|B-错误,A
731,专业题库,03判断题,依据变电安规，在4级及以上的大风以及暴雨、雷电、冰雹、大雾、沙尘暴等恶劣天气下，应停止露天高处作业。,A-正确|B-错误,B
732,专业题库,03判断题,依据变电安规，梯子可绑接使用。人字梯应有限制开度的措施。,A-正确|B-错误,B
733,专业题库,03判断题,依据变电安规，在电焊作业或其他有火花、熔融源等的场所使用的安全带或安全绳应有隔热防磨套。,A-正确|B-错误,A
734,专业题库,03判断题,依据变电安规，高处作业区周围的孔洞、沟道等应设专人看守，夜间还应设红灯示警。,A-正确|B-错误,B
735,专业题库,03判断题,依据变电安规，梯子应坚固完整，有防滑措施。梯子的支柱应能承受作业人员及所携带的工具、材料攀登时的总重量。,A-正确|B-错误,A
736,专业题库,03判断题,依据变电安规，安全带的挂钩或绳子应挂在结实牢固的构件或满足 GB 30862 要求的挂点装置上，防止脱落；并应采用低挂高用的方式。,A-正确|B-错误,B
737,专业题库,03判断题,依据变电安规，高处作业禁止将工具及材料上下投掷，应用绳索栓牢传递，以免打伤下方作业人员或击毁脚手架。,A-正确|B-错误,A
738,专业题库,03判断题,依据变电安规，人在梯子上时，禁止移动梯子。,A-正确|B-错误,A
739,专业题库,03判断题,依据变电安规，阀体工作不得坐在阀体工作层的边缘，以防高空坠落。,A-正确|B-错误,A
740,专业题库,03判断题,依据变电安规，高处作业使用的脚手架应经验收合格后方可使用。上下脚手架应走斜道或梯子，作业人员应沿脚手杆或栏杆等攀爬。,A-正确|B-错误,B
741,专业题库,03判断题,依据变电安规，高处作业人员在作业过程中，应随时检查安全带是否栓牢。,A-正确|B-错误,A
742,专业题库,03判断题,依据变电安规，高处作业应一律使用工具袋。,A-正确|B-错误,A
743,专业题库,03判断题,依据变电安规，高处作业时，较大的工具应用绳栓在牢固的构件上，工件、边角余料应放置在牢靠的地方或用铁丝扣牢并有防止坠落的措施，不准随便乱放，以防止从高空坠落发生事故。,A-正确|B-错误,A
744,专业题库,03判断题,依据《安全设施标准》，存在工业气瓶的场所，应设置“必须采取固定措施”指令标志牌。（    ）,A-正确|B-错误,A
745,专业题库,03判断题,依据《安全设施标准》，变压器、有限空间、燃气调压站、气瓶间等现场存在典型危险点的部位应至少设置危险点警示牌。（    ）,A-正确|B-错误,A
746,专业题库,03判断题,依据《安全设施标准》，安全警示线一般采用黄色或与对比色（黑色）同时使用。（    ）,A-正确|B-错误,A
747,专业题库,03判断题,依据《安全设施标准》，安全标志牌不宜设在可移动的物体上，以免标志牌随母体物体相应移动，影响认读。（    ）,A-正确|B-错误,A
748,专业题库,03判断题,依据《安全设施标准》，应在电缆隧道入口处以及储存易燃易爆物品仓库门口处合理配置灭火器等消防器材，在火灾易发生部位设置火灾探测和自动报警装置。（    ）,A-正确|B-错误,A
749,专业题库,03判断题,根据两票三制规定，事故紧急抢修应填用工作票，或事故紧急抢修单。（    ）,A-正确|B-错误,A
750,专业题库,03判断题,根据两票三制规定，总工作票应在分工作票许可后才可许可，总工作票应在所有分工作票终结后才可终结。（    ）,A-正确|B-错误,B
751,专业题库,03判断题,根据两票三制规定，工作期间，工作负责人若因故暂时离开工作现场时，应指定能胜任的人员临时代替，离开前应将工作现场交待清楚，并告知工作许可人。（    ）,A-正确|B-错误,B
752,专业题库,03判断题,根据两票三制规定，在同一电气连接部分用同一张工作票依次在几个工作地点转移工作时，全部安全措施由运维人员在开工前一次做完，不需再办理转移手续。（    ）,A-正确|B-错误,A
753,专业题库,03判断题,根据两票三制规定，工作票所列入的专责监护人，应具有相关工作经验，熟悉设备情况和《安规》，可以不是本次工作的工作班成员。（    ）,A-正确|B-错误,B
754,专业题库,03判断题,根据两票三制规定，事故紧急处理可以不用操作票。,A-正确|B-错误,A
755,专业题库,03判断题,根据两票三制规定，一级动火工作票有效期为48小时。（    ）,A-正确|B-错误,B
